Customer ID,Name,Product Type,Year,RAM (GB),HDD (GB),Location,Warranty,Age,OS,Office,Antivirus,Service Taken,Ram Service,HDD Service,OS Update,Office Update,Antivirus Upgrade,Warranty Service,,,,,
638774,A NINAAD,Desktop,2010,4,240,USA,4,52,Windows 7,Office 2010,McAfee 2010,1,1,1,0,0,0,0,,,,,
842823,A NINAAD,Laptop,2010,4,240,Italy,4,43,Windows 7,Office 2010,McAfee 2010,1,0,0,0,0,1,1,,,,,
801056,A NINAAD,Laptop,2017,8,500,Italy,1,26,Windows 10,Office 2016,McAfee 2017,0,1,0,0,1,0,1,,,,,
370441,A NINAAD,Desktop,2016,4,1000,USA,4,38,Windows 10,Office 2016,McAfee 2016,0,1,0,0,0,0,1,,,,,
878903,A NINAAD,Desktop,2012,4,240,USA,3,30,Windows 8,Office 2010,McAfee 2012,1,1,1,1,0,0,1,,,,,
120341,A NINAAD,Workstation,2013,4,240,USA,4,59,Windows 8.1,Office 2013,McAfee 2013,1,1,1,1,0,0,1,,,,,
967958,A NINAAD,Laptop,2013,4,500,Italy,4,18,Windows 8.1,Office 2013,McAfee 2013,1,1,1,1,0,0,0,,,,,
952787,A NINAAD,Laptop,2013,4,500,Italy,4,34,Windows 8.1,Office 2013,McAfee 2013,1,1,1,1,1,0,0,,,,,
797658,A SHIKHAR,Desktop,2009,2,180,Singapore,4,25,Windows 7,Office 2007,McAfee 2009,1,0,1,0,1,0,0,,,,,
340029,A SHIKHAR,Desktop,2012,2,360,Singapore,2,38,Windows 8,Office 2010,McAfee 2012,1,1,1,0,0,0,0,,,,,
267204,A SHIKHAR,Desktop,2016,4,1000,Singapore,1,40,Windows 10,Office 2016,McAfee 2016,0,1,0,0,1,0,0,,,,,
658917,A SHIKHAR,Desktop,2010,4,360,Singapore,3,34,Windows 7,Office 2010,McAfee 2010,1,0,1,1,0,0,1,,,,,
870750,A. ANIRUDH SAI,Workstation,2011,4,360,UK,1,40,Windows 7,Office 2010,McAfee 2011,1,1,1,0,1,0,0,,,,,
786624,A. ANIRUDH SAI,Desktop,2011,4,360,USA,5,35,Windows 7,Office 2010,McAfee 2011,1,1,1,0,0,0,1,,,,,
585790,A. ANIRUDH SAI,Laptop,2014,4,360,UK,4,46,Windows 8.1,Office 2013,McAfee 2014,0,1,1,0,1,0,1,,,,,
624217,A. ANIRUDH SAI,Desktop,2015,8,500,USA,4,32,Windows 10,Office 2013,McAfee 2015,1,1,0,0,0,0,0,,,,,
865621,A. ANIRUDH SAI,Laptop,2018,4,1000,USA,5,56,Windows 10,Office 2016,McAfee 2018,0,1,0,0,1,0,0,,,,,
255559,A. ANIRUDH SAI,Workstation,2018,8,2000,UK,5,44,Windows 10,Office 2016,McAfee 2018,0,0,0,0,0,1,1,,,,,
266988,A. ANIRUDH SAI,Workstation,2017,4,500,USA,4,18,Windows 10,Office 2016,McAfee 2017,0,0,0,1,0,0,1,,,,,
950155,A. ANIRUDH SAI,Laptop,2016,4,1000,UK,2,56,Windows 10,Office 2016,McAfee 2016,0,1,0,1,0,1,0,,,,,
442276,A.SAI TEJA,Desktop,2011,8,360,India,5,23,Windows 7,Office 2010,McAfee 2011,1,0,0,0,0,1,0,,,,,
733943,A.SAI TEJA,Desktop,2013,4,500,India,5,48,Windows 8.1,Office 2013,McAfee 2013,1,1,0,0,0,0,1,,,,,
764302,A.SAI TEJA,Workstation,2014,4,500,UAE,1,59,Windows 8.1,Office 2013,McAfee 2014,0,0,1,0,0,1,0,,,,,
579781,A.SAI TEJA,Desktop,2016,8,1000,India,2,37,Windows 10,Office 2016,McAfee 2016,0,0,0,0,0,1,0,,,,,
713231,A.SAI TEJA,Desktop,2009,2,180,India,4,40,Windows 7,Office 2007,McAfee 2009,1,1,1,1,1,0,0,,,,,
529827,A.SAI TEJA,Desktop,2011,2,360,UAE,5,20,Windows 7,Office 2010,McAfee 2011,0,1,1,1,1,0,1,,,,,
954742,A.SAI TEJA,Laptop,2015,8,500,UAE,4,47,Windows 10,Office 2013,McAfee 2015,1,0,1,1,0,1,0,,,,,
334391,A.SAI TEJA,Desktop,2017,4,1000,UAE,1,50,Windows 10,Office 2016,McAfee 2017,0,0,0,1,0,0,0,,,,,
909884,AADWAY SINHA,Workstation,2011,4,360,Russia,1,40,Windows 7,Office 2010,McAfee 2011,1,1,1,0,1,1,0,,,,,
696644,AADWAY SINHA,Workstation,2014,4,500,Russia,2,31,Windows 8.1,Office 2013,McAfee 2014,0,1,0,0,1,1,0,,,,,
175819,AADWAY SINHA,Laptop,2016,4,1000,China,2,18,Windows 10,Office 2016,McAfee 2016,1,0,0,0,0,1,1,,,,,
974492,AADWAY SINHA,Laptop,2017,4,1000,Russia,3,54,Windows 10,Office 2016,McAfee 2017,1,0,0,0,1,0,0,,,,,
